Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:42:59.230741,argocd,argocd-server-858f464b75-j92hs,server,0.313626,43.703125
2024-11-23T18:43:14.313659,argocd,argocd-application-controller-0,application-controller,5.449459,163.17578125
2024-11-23T18:43:14.314287,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.247669,43.109375
2024-11-23T18:43:14.314610,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.419541,97.82421875
2024-11-23T18:43:14.314821,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.169651,36.7265625
2024-11-23T18:43:14.314989,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.945573,10.93359375
2024-11-23T18:43:14.315176,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.787539,54.6640625
2024-11-23T18:43:14.315347,argocd,argocd-server-858f464b75-j92hs,server,0.92628,43.703125
2024-11-23T18:43:29.394779,argocd,argocd-application-controller-0,application-controller,2.820961,163.17578125
2024-11-23T18:43:29.396054,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.230067,43.109375
2024-11-23T18:43:29.396322,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.035391,97.82421875
2024-11-23T18:43:29.396516,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.462398,36.73046875
2024-11-23T18:43:29.396654,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.936134,11.18359375
2024-11-23T18:43:29.396772,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.483759,54.65625
2024-11-23T18:43:29.396888,argocd,argocd-server-858f464b75-j92hs,server,0.264013,43.70703125
2024-11-23T18:43:44.476804,argocd,argocd-application-controller-0,application-controller,3.131128,163.80859375
2024-11-23T18:43:44.477465,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.221186,43.109375
2024-11-23T18:43:44.477798,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.035391,97.82421875
2024-11-23T18:43:44.478032,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.086052,36.73046875
2024-11-23T18:43:44.478238,argocd,argocd-redis-7855f78d87-9vqnb,redis,1.010078,11.18359375
2024-11-23T18:43:44.478436,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.508071,54.66015625
2024-11-23T18:43:44.478626,argocd,argocd-server-858f464b75-j92hs,server,0.294041,43.703125
2024-11-23T18:43:59.561202,argocd,argocd-application-controller-0,application-controller,3.533046,164.4453125
2024-11-23T18:43:59.561683,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.447565,43.109375
2024-11-23T18:43:59.561911,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.061444,97.82421875
2024-11-23T18:43:59.562090,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.260842,36.7265625
