Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:40:13.445376,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.902207,10.93359375
2024-11-23T18:40:13.445437,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.520919,54.2421875
2024-11-23T18:40:13.445490,argocd,argocd-server-858f464b75-j92hs,server,0.267869,43.703125
2024-11-23T18:40:28.516338,argocd,argocd-application-controller-0,application-controller,4.050254,152.015625
2024-11-23T18:40:28.517769,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.694553,43.109375
2024-11-23T18:40:28.517856,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.052986,97.82421875
2024-11-23T18:40:28.517916,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.066027,36.7265625
2024-11-23T18:40:28.517971,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.918459,11.18359375
2024-11-23T18:40:28.518024,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.382299,54.234375
2024-11-23T18:40:28.518075,argocd,argocd-server-858f464b75-j92hs,server,0.319951,43.703125
2024-11-23T18:40:43.580122,argocd,argocd-application-controller-0,application-controller,2.836749,152.015625
2024-11-23T18:40:43.580509,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.260015,43.109375
2024-11-23T18:40:43.580584,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.045046,97.82421875
2024-11-23T18:40:43.580638,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.24296,36.7265625
2024-11-23T18:40:43.580686,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.921712,11.18359375
2024-11-23T18:40:43.580734,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.382299,54.234375
2024-11-23T18:40:43.580779,argocd,argocd-server-858f464b75-j92hs,server,0.251726,43.703125
