{'Timestamp': '2024-11-22T21:22:38.123086', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.77599, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:22:38.123162', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.725026, 'Memory (MB)': 215.7734375}
{'Timestamp': '2024-11-22T21:22:38.123187', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.699285, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:23:08.167805', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.834755, 'Memory (MB)': 328.16015625}
{'Timestamp': '2024-11-22T21:23:08.168002', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.671376, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:23:08.168071', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.693814, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:23:38.220849', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.649688, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:23:38.221224', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.758329, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:23:38.221301', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.739175, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:24:08.281065', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.70149, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:24:08.281407', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.710923, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:24:08.281479', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.653264, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:24:38.335464', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.738122, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:24:38.335851', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.72833, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:24:38.335906', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.773088, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:25:08.390040', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.6781, 'Memory (MB)': 328.16015625}
{'Timestamp': '2024-11-22T21:25:08.390406', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.783728, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:25:08.390503', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.689998, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:25:38.438830', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.771215, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:25:38.439177', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.625375, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:25:38.439236', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.652939, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:26:08.487594', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.674911, 'Memory (MB)': 328.16015625}
{'Timestamp': '2024-11-22T21:26:08.487761', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.719364, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:26:08.487820', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.700297, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:26:38.535768', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.887393, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:26:38.535898', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.678193, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:26:38.535945', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.72029, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:27:24.706311', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.731358, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:27:24.706683', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.808738, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:27:24.706780', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.833057, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:27:54.754352', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.736752, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:27:54.754668', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.761289, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:27:54.754747', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.77456, 'Memory (MB)': 201.5234375}
